company,company_formal,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,industry,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44
20 Microns,20 MICRONS LTD.,4.0,117,3.9,3.9,3.8,3.8,3.7,3.7,3.5,11,20 MICRONS,20101037799,20 Microns Group,1,2.7e+19,Minerals,101020300000000,Minerals,80000000000,8,Other mining and quarrying,1987,Diversified / Miscellaneous,11,20240331,12,INDAS,6805.5,6770.3,7.2,6311.2,541.0,521.7,15.0,501.5,5721.8,384.0,,,20 MICRONS LTD.,5721.8,117.0,Matched (3)
3I Infotech,3I INFOTECH LTD.,3.4,2.1k,3.3,3.4,3.1,3.2,3.2,3.2,2.8,96387,3I INFOTECH,20101033903,I.C.I.C.I. Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1993,IT Sector,96387,20240331,12,INDAS,4218.5,3573.3,,12404.8,1878.6,1877.1,52.8,-8186.3,8513.5,1646.0,366.0,2.0,3I INFOTECH LTD.,8513.5,2100.0,Matched (3)
3M India,3M INDIA LTD.,4.2,556,3.6,4.2,4.0,3.8,4.1,3.9,3.3,36277,,20202000000,Private (Foreign),1,5.056082e+19,"Self-adhesive plates, sheets, films, etc.",101012045400000,"Plastic furniture, floorings & miscellaneous items",220201090000,22209,Manufacture of other plastics products n.e.c.,1987,Diversified / Miscellaneous,36277,20240331,12,INDAS,39942.4,39267.7,-378.5,34201.2,3585.7,3382.1,177.8,5362.7,34472.1,1685.0,211.0,0.0,3M INDIA LTD.,34472.1,556.0,Matched (3)
63 Moons Technologies,63 MOONS TECHNOLOGIES LTD.,3.7,323,3.6,3.6,3.3,3.5,3.8,3.4,3.1,73119,FTIL,20101032904,Financial Technologies Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1988,IT Sector,73119,20240331,12,INDAS,8831.9,4657.5,,6139.7,1484.4,1447.2,37.1,2692.2,30991.7,920.0,200.0,1.0,63 MOONS TECHNOLOGIES LTD.,30991.7,323.0,Matched (3)
ABC India,A B C INDIA LTD.,4.0,1.7k,3.9,3.9,3.9,3.9,3.9,3.9,3.8,289,,20101020442,TCI-Bhoruka Group,1,8.012240404e+19,"Cargo handling, incidental to land transport",101040509000000,Transport logistics services,520204000000,5224,Cargo handling,1972,Transportation & Logistics,289,20240331,12,INDAS,1652.6,1646.0,-1.4,1628.4,75.4,71.0,4.1,22.8,1021.6,97.0,,,A B C INDIA LTD.,1021.6,1700.0,Matched (3)
ABM Knowledgeware,A B M KNOWLEDGEWARE LTD.,3.7,352,3.4,3.5,3.3,3.4,3.5,3.4,3.0,415,,20101031273,ABM Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1993,IT Sector,415,20240331,12,INDAS,986.5,921.9,,837.7,434.5,429.5,5.0,148.8,2603.2,511.0,,,A B M KNOWLEDGEWARE LTD.,2603.2,352.0,Matched (3)
AIA Engineering,A I A ENGINEERING LTD.,4.1,180,4.0,3.9,3.8,3.8,3.8,3.8,3.5,1120,A I A ENGG.,20101031201,A I A Engineering Group,1,5.704080804e+19,Castings,101013501150000,Castings & forgings,240301090000,24319,Manufacture of other iron and steel casting and products thereof,1991,Metals & Metal Products,1120,20240331,12,INDAS,45790.7,41487.0,-410.5,34085.7,1227.7,1166.2,40.8,11294.5,71823.9,4266.0,33.0,16.0,A I A ENGINEERING LTD.,71823.9,180.0,Matched (3)
AK Capital Services,A K CAPITAL SERVICES LTD.,3.3,85,3.0,3.4,3.5,3.0,3.0,3.1,3.0,1317,,20101031320,AK Group,2,8.5e+19,Financial services including leasing,102200000000000,Diversified financial services,640900000000,649,"Other financial service activities, except insurance and pension funding activities",1993,Financial Services,1317,20240331,12,FS_INDAS,1277.3,23.3,,959.3,303.4,298.3,5.1,318.0,11877.0,96.0,,,A K CAPITAL SERVICES LTD.,11877.0,85.0,Matched (3)
ASK Automotive,A S K AUTOMOTIVE LTD.,4.1,653,4.1,4.0,3.9,3.9,3.8,3.8,3.7,2791,A S K AUTOMOTIVE,20102000000,Private (Indian),1,6.620206e+19,Other auto panel instruments/parts,101014502059000,Other automobile ancillaries,290201090000,29209,Manufacture of other attachments to motor vehicles n.e.c.,1988,Automobile & Ancillaries,2791,20240331,12,INDAS,29503.4,29264.3,156.0,27903.2,1572.5,1438.9,111.0,1756.2,13866.2,7000.0,17.0,8.0,A S K AUTOMOTIVE LTD.,13866.2,653.0,Matched (3)
ASM Technologies,A S M TECHNOLOGIES LTD.,3.7,408,3.4,3.7,3.5,3.5,3.5,3.3,3.1,2842,,20101031366,ASM Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1992,IT Sector,2842,20240331,12,INDAS,1356.8,1222.8,,1319.9,737.6,730.7,6.9,36.9,2261.7,1105.0,155.0,,A S M TECHNOLOGIES LTD.,2261.7,408.0,Matched (3)
